Is_Early_Morning,Is_Morning,Is_Afternoon,Is_Evening,stay_duration,wifi_count,edge_wifi_count,honk_duration,edge_honk_duration,d_wifi_count,d_edge_wifi_count,d_honk_duration,d_edge_honk_duration,human_made,natural_land,road_exist_percent,highly_populated_poi_exist,RSI,Is_Bus_stop,Is_Turn,Is_Signal,Is_Congestion,Is_Adhoc
1,0,0,0,3,0,0.0,1,0.11742733215146198,0,0.0,5,0.05871366607573099,0.13545895705926836,0.6334583844182923,0.15990632180954548,1.0,1.676513826555311,0,0,0,0,1
1,0,0,0,2,0,0.0,1,0.08322313313206699,0,0.0,3,0.049933879879240195,0.1120846330216519,0.7089258875972252,0.15862840676800882,1.0,2.044995353539968,0,0,0,0,1
1,0,0,0,7,2,0.017453309235890006,1,0.06981323694356002,2,0.017453309235890006,2,0.0669043520709117,0.13484544611759322,0.6234787458402126,0.17675172762763763,1.0,1.6013517372336783,0,0,0,0,1
1,0,0,0,8,0,0.0047396992669604815,2,0.047396992669604815,0,0.0047396992669604815,2,0.047396992669604815,0.21360722632619167,0.5751264381636595,0.2112663355101488,0.0,1.3671686450048153,0,0,0,0,1
1,0,0,0,8,6,0.014219594077529436,1,0.08531756446517662,6,0.014219594077529436,3,0.07109797038764717,0.23531283620990104,0.5283136090191384,0.2363735547709606,0.0,2.030775732697012,1,1,0,0,0
1,0,0,0,52,5,0.018417847394561804,7,0.08156475274734513,5,0.018417847394561804,8,0.07893363169097915,0.2560133455998839,0.4586786481854031,0.28530800621471303,0.0,1.5083798217051925,0,0,0,0,1
1,0,0,0,11,1,0.015799420893232104,0,0.05134811790300434,1,0.015799420893232104,0,0.05134811790300434,0.21560911501015886,0.5118318390900096,0.27255904589983154,0.0,1.5197269165752891,1,0,0,0,0
1,0,0,0,1,0,0.02414944066593093,0,0.04829888133186186,0,0.02414944066593093,0,0.04829888133186186,0.1984451055133904,0.4152857740727754,0.2556790975277781,1.0,1.4967377234130659,0,0,0,0,1
1,0,0,0,15,8,0.051927191033405914,3,0.025963595516702957,9,0.03894539327505444,4,0.012981797758351479,0.16923818888070558,0.2808274232562313,0.23950112344428204,1.0,1.760456010858039,1,1,0,0,0
1,0,0,0,7,0,0.009569745896082452,1,0.04784872948041226,1,0.0,2,0.03827898358432981,0.14737510254230682,0.26534793857483824,0.209212289486676,1.0,1.8990668949764082,0,0,0,0,1
1,0,0,0,11,0,0.012574377653074079,4,0.11316939887766671,1,0.0,8,0.0628718882653704,0.14461953640788394,0.27969736398245865,0.19637237130369992,1.0,1.6796550857197492,1,0,0,0,0
1,0,0,0,2,0,0.012379133038095378,0,0.07427479822857226,1,0.0,2,0.04951653215238151,0.1380367643791382,0.3237509442905601,0.1989416539526892,1.0,1.815836682030262,0,0,0,0,1
1,0,0,0,5,0,0.005252984835768017,0,0.052529848357680174,0,0.005252984835768017,0,0.052529848357680174,0.10636315472166907,0.7118585234850283,0.1817783217933025,0.0,1.2337208211583417,0,0,0,0,1
1,0,0,0,12,1,0.0,2,0.06863891139453239,1,0.0,2,0.06863891139453239,0.09793914099865382,0.7377904410289338,0.16427041797241246,0.0,1.4508364137028842,1,0,0,0,0
1,0,0,0,10,0,0.013337576109525056,1,0.08002545665715033,0,0.013337576109525056,1,0.08002545665715033,0.1111567252500148,0.6424529557962011,0.2463903189537843,0.0,1.2789926339443785,0,0,0,0,1
1,0,0,0,6,0,0.004081109294326826,1,0.061216639414902387,1,0.0,1,0.061216639414902387,0.10876512713759008,0.686154500208903,0.18015128970071909,1.0,1.513111061643483,0,1,0,0,0
0,0,1,0,202,11,0.0,76,0.0,11,0.0,76,0.0,0.1529919371450431,0.6533560898096107,0.1936519730453462,0.0,0.0,0,0,0,0,1
0,0,1,0,27,1,0.0053094125322310365,7,0.044750762771661595,1,0.0053094125322310365,8,0.04399227526705716,0.060928129100827476,0.7722117988149851,0.16002761901663287,1.0,1.9047422598651047,1,0,0,0,0
0,0,1,0,33,7,0.021684424899536064,17,0.05421106224884017,7,0.021684424899536064,17,0.05421106224884017,0.1292376394123954,0.648450482117263,0.2194748108928657,1.0,2.2566148369036076,1,0,1,0,0
